Category,Website Name,Main URL,Sitemap URL,Sub-sitemap URLs
Top Popular/General Recipe Sites,Allrecipes,https://www.allrecipes.com,https://www.allrecipes.com/sitemap_2.xml,https://www.allrecipes.com/recipe-sitemap.xml; https://www.allrecipes.com/post-sitemap.xml; https://www.allrecipes.com/page-sitemap.xml; https://www.allrecipes.com/category-sitemap.xml; https://www.allrecipes.com/tag-sitemap.xml; https://www.allrecipes.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Food Network,https://www.foodnetwork.com,https://www.foodnetwork.com/sitemaps/sitemap_food_index.xml,https://www.foodnetwork.com/site-sitemap.xml; https://www.foodnetwork.com/post-sitemap.xml; https://www.foodnetwork.com/page-sitemap.xml; https://www.foodnetwork.com/category-sitemap.xml; https://www.foodnetwork.com/tag-sitemap.xml; https://www.foodnetwork.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Simply Recipes,https://www.simplyrecipes.com,https://www.simplyrecipes.com/sitemap.xml,https://www.simplyrecipes.com/recipe-sitemap.xml; https://www.simplyrecipes.com/post-sitemap.xml; https://www.simplyrecipes.com/page-sitemap.xml; https://www.simplyrecipes.com/category-sitemap.xml; https://www.simplyrecipes.com/google-news-sitemap.xml; https://www.simplyrecipes.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Epicurious,https://www.epicurious.com,https://www.epicurious.com/sitemap.xml,https://www.epicurious.com/recipe-sitemap.xml; https://www.epicurious.com/post-sitemap.xml; https://www.epicurious.com/page-sitemap.xml; https://www.epicurious.com/category-sitemap.xml; https://www.epicurious.com/tag-sitemap.xml; https://www.epicurious.com/sitemap.xml
Top Popular/General Recipe Sites,The Kitchn,https://www.thekitchn.com,https://www.thekitchn.com/sitemap.xml,https://www.thekitchn.com/recipe-sitemap.xml; https://www.thekitchn.com/post-sitemap.xml; https://www.thekitchn.com/page-sitemap.xml; https://www.thekitchn.com/category-sitemap.xml; https://www.thekitchn.com/tag-sitemap.xml; https://www.thekitchn.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Food52,https://food52.com,https://food52.com/pages/recipes,https://food52.com/pages/recipes; https://food52.com/post-sitemap.xml; https://food52.com/page-sitemap.xml; https://food52.com/category-sitemap.xml; https://food52.com/tag-sitemap.xml; https://food52.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Serious Eats,https://www.seriouseats.com,https://www.seriouseats.com/sitemap.xml,https://www.seriouseats.com/recipe-sitemap.xml; https://www.seriouseats.com/post-sitemap.xml; https://www.seriouseats.com/page-sitemap.xml; https://www.seriouseats.com/category-sitemap.xml; https://www.seriouseats.com/tag-sitemap.xml; https://www.seriouseats.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,NYT Cooking,https://cooking.nytimes.com,https://cooking.nytimes.com/sitemap.xml,https://cooking.nytimes.com/recipe-sitemap.xml; https://cooking.nytimes.com/post-sitemap.xml; https://cooking.nytimes.com/page-sitemap.xml; https://cooking.nytimes.com/category-sitemap.xml; https://cooking.nytimes.com/tag-sitemap.xml; https://cooking.nytimes.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Taste of Home,https://www.tasteofhome.com,https://www.tasteofhome.com/sitemap.xml,https://www.tasteofhome.com/recipe-sitemap.xml; https://www.tasteofhome.com/post-sitemap.xml; https://www.tasteofhome.com/page-sitemap.xml; https://www.tasteofhome.com/category-sitemap.xml; https://www.tasteofhome.com/tag-sitemap.xml; https://www.tasteofhome.com/recipes-sitemap.xml
Top Popular/General Recipe Sites,Food.com,https://www.food.com,https://www.food.com/html-sitemap,https://www.food.com/recipe-sitemap.xml; https://www.food.com/post-sitemap.xml; https://www.food.com/page-sitemap.xml; https://www.food.com/category-sitemap.xml; https://www.food.com/tag-sitemap.xml; https://www.food.com/recipes-sitemap.xml
Top Food Blogs,Pinch of Yum,https://pinchofyum.com,https://pinchofyum.com/sitemap.xml,https://pinchofyum.com/recipe-sitemap.xml; https://pinchofyum.com/post-sitemap.xml; https://pinchofyum.com/page-sitemap.xml; https://pinchofyum.com/category-sitemap.xml; https://pinchofyum.com/tag-sitemap.xml; https://pinchofyum.com/recipes-sitemap.xml
Top Food Blogs,Smitten Kitchen,https://smittenkitchen.com,https://smittenkitchen.com/sitemap.xml,https://smittenkitchen.com/recipe-sitemap.xml; https://smittenkitchen.com/post-sitemap.xml; https://smittenkitchen.com/page-sitemap.xml; https://smittenkitchen.com/category-sitemap.xml; https://smittenkitchen.com/tag-sitemap.xml; https://smittenkitchen.com/recipes-sitemap.xml
Top Food Blogs,Budget Bytes,https://www.budgetbytes.com,https://www.budgetbytes.com/sitemap.xml,https://www.budgetbytes.com/recipe-sitemap.xml; https://www.budgetbytes.com/post-sitemap.xml; https://www.budgetbytes.com/page-sitemap.xml; https://www.budgetbytes.com/category-sitemap.xml; https://www.budgetbytes.com/tag-sitemap.xml; https://www.budgetbytes.com/recipes-sitemap.xml
Top Food Blogs,Minimalist Baker,https://minimalistbaker.com,https://minimalistbaker.com/sitemap.xml,https://minimalistbaker.com/recipe-sitemap.xml; https://minimalistbaker.com/post-sitemap.xml; https://minimalistbaker.com/page-sitemap.xml; https://minimalistbaker.com/category-sitemap.xml; https://minimalistbaker.com/tag-sitemap.xml; https://minimalistbaker.com/recipes-sitemap.xml
Top Food Blogs,Love and Lemons,https://www.loveandlemons.com,https://www.loveandlemons.com/sitemap.xml,https://www.loveandlemons.com/recipe-sitemap.xml; https://www.loveandlemons.com/post-sitemap.xml; https://www.loveandlemons.com/page-sitemap.xml; https://www.loveandlemons.com/category-sitemap.xml; https://www.loveandlemons.com/tag-sitemap.xml; https://www.loveandlemons.com/recipes-sitemap.xml
Top Food Blogs,The Pioneer Woman,https://thepioneerwoman.com,https://thepioneerwoman.com/sitemap.xml,https://thepioneerwoman.com/recipe-sitemap.xml; https://thepioneerwoman.com/post-sitemap.xml; https://thepioneerwoman.com/page-sitemap.xml; https://thepioneerwoman.com/category-sitemap.xml; https://thepioneerwoman.com/tag-sitemap.xml; https://thepioneerwoman.com/recipes-sitemap.xml
Top Food Blogs,Damn Delicious,https://damndelicious.net,https://damndelicious.net/sitemap.xml,https://damndelicious.net/recipe-sitemap.xml; https://damndelicious.net/post-sitemap.xml; https://damndelicious.net/page-sitemap.xml; https://damndelicious.net/category-sitemap.xml; https://damndelicious.net/tag-sitemap.xml; https://damndelicious.net/recipes-sitemap.xml
